name,id,genres,followers,popularity,spotify_url
Nardo Wick,0Njy6yR9LykNKYg9yE23QN,"florida drill, florida rap, southern hip hop",1225258,66,https://open.spotify.com/artist/0Njy6yR9LykNKYg9yE23QN
Sheff G,1tG7s7S4sq2eFFW0QZyLbm,"brooklyn drill, new york drill, nyc rap",1079895,67,https://open.spotify.com/artist/1tG7s7S4sq2eFFW0QZyLbm
Morad,4az97MtWmBQ5Db3GfDh9j9,"drill espanol, urbano espanol",3206508,79,https://open.spotify.com/artist/4az97MtWmBQ5Db3GfDh9j9
D-Block Europe,5VadK1havLhK1OpKYsXv9y,"melodic drill, uk hip hop",1492533,76,https://open.spotify.com/artist/5VadK1havLhK1OpKYsXv9y
JayDaYoungan,0E3pLs4jXz9tDQGY8m1A1d,"florida drill, melodic rap, southern hip hop",1628099,62,https://open.spotify.com/artist/0E3pLs4jXz9tDQGY8m1A1d
Fivio Foreign,14CHVeJGrR5xgUGQFV5BVM,"brooklyn drill, new york drill, trap",1324266,66,https://open.spotify.com/artist/14CHVeJGrR5xgUGQFV5BVM
Yungeen Ace,7hj7ffJe6UkF1gsMpuweSI,"florida drill, florida rap, melodic rap",1461094,59,https://open.spotify.com/artist/7hj7ffJe6UkF1gsMpuweSI
Gazo,5gqmbbfjcikQBzPB5Hv13I,"drill francais, french hip hop, pop urbaine, r&b francais, rap francais",2810204,75,https://open.spotify.com/artist/5gqmbbfjcikQBzPB5Hv13I
Lvbel C5,0V2oXYR7DtrZAEFeILRW2r,"turkce drill, turkish trap",2413865,75,https://open.spotify.com/artist/0V2oXYR7DtrZAEFeILRW2r
Luciano,3CJKkU0XuElRT1z8rEtIYg,"german drill, german hip hop",2230797,74,https://open.spotify.com/artist/3CJKkU0XuElRT1z8rEtIYg
Beny Jr,22dFwJoRBV51ue5TGnC7Dt,"drill espanol, urbano espanol",1247819,74,https://open.spotify.com/artist/22dFwJoRBV51ue5TGnC7Dt
Tink,4v6XOdonnfpdTKTRJArG7v,"chicago rap, drill, trap queen",1147089,58,https://open.spotify.com/artist/4v6XOdonnfpdTKTRJArG7v
DJ FKU,3QMpCp3GHiHXgnX1LldXWe,gym phonk,244191,74,https://open.spotify.com/artist/3QMpCp3GHiHXgnX1LldXWe
ZWE1HVNDXR,33rnQWadiG2aauIwIxPxfB,ukrainian phonk,233663,68,https://open.spotify.com/artist/33rnQWadiG2aauIwIxPxfB
Mc Delux,3l4fsEzoeabsET7ddv0lZW,"funk mandelao, funk mtg, phonk brasileiro",121579,71,https://open.spotify.com/artist/3l4fsEzoeabsET7ddv0lZW
Anar,4C5EDmZfgkkSwUVFSvuUNP,phonk brasileiro,107469,68,https://open.spotify.com/artist/4C5EDmZfgkkSwUVFSvuUNP
Crazy Mano,6QwlKB1hO357wh5oNuuInl,phonk brasileiro,74414,68,https://open.spotify.com/artist/6QwlKB1hO357wh5oNuuInl
Slowboy,65FHTCI8EmW94W0TdWb8ja,phonk brasileiro,131053,67,https://open.spotify.com/artist/65FHTCI8EmW94W0TdWb8ja
yatashigang,2GBDI5PSiEnVoH0YnFFRLx,gym phonk,84635,65,https://open.spotify.com/artist/2GBDI5PSiEnVoH0YnFFRLx
MC MN,4hV3aU0WKvFaiX5ugXP5hp,"funk mtg, phonk brasileiro",81289,68,https://open.spotify.com/artist/4hV3aU0WKvFaiX5ugXP5hp
SXID,3eTy7yvRHnpPKY4hNCfYYX,gym phonk,99614,68,https://open.spotify.com/artist/3eTy7yvRHnpPKY4hNCfYYX
Dyan Dxddy,12Swjg82MNiUOfl1GB3XFx,phonk brasileiro,146654,65,https://open.spotify.com/artist/12Swjg82MNiUOfl1GB3XFx
Skorde,3voCipmmrW5uF4EMA6aSbj,"chill breakcore, gym phonk",131130,66,https://open.spotify.com/artist/3voCipmmrW5uF4EMA6aSbj
